,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,2020-01-01,5852.680492879897,5737.567102723453,5615.764429555273,5531.742919593427,5447.605645202968,5394.700536800865,5352.527236289805,5309.453514168963,5301.798190110043,5284.8873302861575,5264.730095656338,5252.671949387285,5220.300009780588,5208.690772131155,5220.517697616173,5252.379342379828,5292.710748916018,5340.80867555763,5418.500221420882,5478.964335906285,5677.376366508007,5542.944321935731,5536.405216629725,5559.008346956058,5611.562916358915,5701.071537341585,5802.232089181192,5884.75723107473,6000.03964326668,6182.7432685147905,6357.22660781478,6551.47279787524,6714.933779601675,6867.144632626951,6996.509167647512,7053.101122305113,7062.00335281319,7123.696503111565,7176.657903328774,7132.427396548795,6999.041655191843,6778.294291490775,6624.6684064344845,6465.805474225568,6316.609752689715,6198.455162830212,6015.530372875833,5805.47114765406
1,2020-01-02,5632.461605891827,5487.935021413868,5363.866205614315,5266.091177621307,5225.096960762148,5192.479038987878,5186.143796569615,5179.2950309678745,5196.088304680027,5225.551608764443,5277.173435079095,5361.186862101953,5473.35117964264,5573.416383899274,5670.288019778232,5699.179503278259,5720.427480133548,5735.547589523925,5711.5180423400625,5695.357052926114,5724.191523648127,5777.168239250433,5777.406824395989,5833.800894143622,5913.283468206982,5977.900647412005,6008.4039152941405,6117.263911297213,6259.022710451818,6344.586516837295,6429.466382124519,6540.095032000369,6704.6517161718075,6872.453356235315,6977.702071852982,7045.839588178902,7078.921695443871,7191.4747607750505,7237.26856886227,7240.641405403592,7126.296953457186,6933.054265547942,6729.61939369309,6549.923826495945,6368.972896047844,6240.96407499968,6077.857540575453,5881.771316229845
2,2020-01-03,5732.025049443007,5601.031687202855,5481.013718075293,5390.988178389465,5345.704545855458,5316.6155595495475,5279.059900210118,5268.816784854022,5304.429383086028,5311.860788686668,5340.828310783872,5432.285250962265,5528.636122578092,5638.12352138016,5738.06354254011,5777.613110346319,5837.176881708077,5885.082225245951,5868.924060575555,5861.864445201223,5851.1882324728285,5822.944300202242,5809.12787350431,5848.553233501787,5872.626995275072,5947.458266378698,6037.09629720266,6102.373861229819,6211.323656363972,6348.72272372136,6423.776344213069,6534.28191419321,6701.893795298822,6846.749430494496,6948.867483910719,6944.38139496246,6917.595863824411,7004.637159265252,7071.178162199955,7074.741818013747,6960.21391065644,6792.45948205348,6659.044517343103,6524.471738774102,6401.686791769453,6309.416481128876,6125.593917062512,5911.740136300331
3,2020-01-04,5591.47553052413,5447.063023593721,5321.5891746850775,5238.835563715683,5188.126335983873,5156.340849704089,5133.23213144271,5120.225319390207,5135.167912572453,5124.747984745595,5106.670105671873,5106.958664830085,5089.747008797907,5098.9531306345725,5138.172551941628,5138.884810242895,5159.609824951669,5163.85805867936,5128.289674448094,5111.288620354103,5061.819416268172,5063.964984894215,5019.766784338142,5045.709107397672,5058.237579589098,5135.88657288527,5169.947542027592,5214.57204512584,5291.900182117467,5432.639783997215,5581.7096345342325,5786.277826481772,6036.351538730065,6243.85588594353,6409.856397585026,6488.649370298132,6558.18087759237,6659.64444378587,6736.482312711514,6748.80148968568,6651.502266123002,6487.36053730296,6358.869401990322,6259.52713213448,6166.459324617163,6091.403527954897,5906.684965873827,5704.3851948796555
4,2020-01-05,5509.171951770702,5373.223363097037,5249.3847860679625,5154.4613665585775,5094.958259093326,5050.329402167397,5048.10876984465,5049.456267984728,5033.85297321483,5030.0295588661575,5003.489890116335,4975.21487981286,4940.3401756847325,4930.911252167635,4886.637347029766,4868.150522855275,4896.7710449842625,4936.652629727862,4930.537987444883,4923.341383698243,4907.44354204118,4913.11438659171,4919.8868928544125,4965.515860452313,4999.395859324515,5038.689302056725,5146.275390424153,5233.190817215137,5351.589204515118,5476.84129630254,5641.973240159376,5819.636927000285,6043.73883948978,6246.89491313957,6427.229297841248,6537.19247913925,6634.994021546099,6760.03675176194,6807.585094972213,6797.3353810176595,6711.73547037316,6520.715905642945,6385.849823486649,6232.097443531244,6114.721453225463,6023.3804585747075,5827.807285723035,5624.424783916128
5,2020-01-06,5440.903656800882,5301.45180713718,5203.697272092122,5125.533906101363,5073.650664187555,5039.389548032487,5034.28654511668,5030.9630432774975,5060.834160643318,5110.196861690555,5196.276624251157,5282.284476366514,5430.0324843295175,5576.769510563153,5720.003252925528,5795.40659561049,5864.502564115963,5903.067390090182,5866.009900437442,5825.869671332258,5804.716739115098,5817.863961480438,5830.891821222952,5905.511942758167,5988.885950411647,6068.00906526643,6121.133743266905,6236.415482083237,6368.46450341383,6479.244927846792,6604.658232249022,6734.7849440183345,6876.172276278523,7035.610732982343,7146.647778737202,7174.039939598668,7171.6030766805125,7256.720050726693,7291.356352134248,7275.855530057147,7141.337290152689,6929.61398560677,6738.533803676153,6552.929083598437,6388.090657855961,6265.645041125254,6071.569880593228,5856.288643047545
6,2020-01-07,5653.85690913438,5512.349071325376,5381.227432256098,5305.813213454738,5251.864772872168,5220.437167078402,5201.669593469325,5191.0419765560955,5219.151674532065,5262.447983632177,5346.21732226351,5433.304406288647,5612.501910115712,5770.187161489943,5906.822550345632,6008.202584848559,6077.424013178641,6086.56730836544,6073.612789312062,6020.016977873058,5994.40762838482,5996.645397672967,6002.307000899203,6037.665378848835,6081.269153645182,6129.458330980495,6199.67272926995,6283.270030992512,6361.568020830182,6454.93998453588,6580.329969234497,6748.998516482843,6978.495310130593,7159.619310628151,7260.528995238273,7251.326363373439,7237.173030206344,7312.295859658505,7348.923747381867,7326.853108127812,7182.980572549871,6957.427294574897,6782.693282622848,6591.650601957863,6402.729095766867,6293.3640436090145,6098.435597373795,5870.0108252461505
7,2020-01-08,5649.700279719615,5516.584699817848,5390.578403954122,5303.014068827662,5264.782853469806,5222.192267582655,5205.289731873065,5208.774448417174,5238.792812912052,5271.430966307745,5329.860849586023,5414.697699833752,5563.599571079717,5700.732102596038,5814.473265760962,5848.126304076917,5901.24870896864,5938.428159532568,5897.365893162908,5863.305332025508,5882.729779380656,5891.900110296555,5873.950649488615,5920.74338962585,5966.149440364895,6034.009768105752,6113.914564783768,6271.686667483055,6432.354830473662,6579.8005820653925,6725.029213191172,6890.751654898043,7060.3530389192,7240.97131654903,7394.2300355403595,7413.36657867638,7413.781294332385,7481.382035804522,7540.027919222322,7505.030755511063,7382.543898397507,7161.183742859637,6962.29602914107,6769.50902145471,6540.677621347995,6337.779810869784,6165.532293266682,5972.532680341582
8,2020-01-09,5850.382146641828,5703.804956163867,5581.893689864315,5496.9272373713075,5431.101122012147,5389.524543737878,5377.937202319615,5358.0015089678745,5370.514922430028,5397.235788633947,5471.365966777231,5567.977500196361,5719.732982921448,5880.074033265535,6020.23318945591,6079.528863539728,6129.576787866802,6146.0646666019675,6101.452118620835,6103.5351725771325,6098.697265967217,6140.755546330888,6194.891356069926,6286.07952600779,6379.184640899055,6362.114122372206,6496.244854589568,6654.4247906890305,6812.15582500346,6926.505178485143,7068.370174760082,7187.2001508622725,7369.06742740154,7495.618104993253,7610.961949791983,7628.0464945680305,7613.506178108466,7719.544926472813,7796.09464861227,7802.703940903592,7684.074163707185,7457.346886797944,7213.70319594309,6980.2531429959445,6744.545745047844,6567.1273469996795,6383.580812825452,6186.659946229845
9,2020-01-10,5985.27094256743,5866.133388159665,5724.1393876891225,5631.31192278394,5566.899728475678,5530.118036224538,5524.714529897217,5508.729453592915,5527.312929375395,5553.1135720957245,5644.079077231096,5754.659380780072,5905.7832158493975,6021.659533752103,6218.544881958453,6321.86089525866,6367.025089893172,6395.0304511430695,6359.7839422291,6338.718214506378,6308.686760661957,6307.662772535105,6354.385142271631,6419.099138395637,6450.369910587658,6510.14686048401,6599.629590635437,6674.538061206855,6789.724482534534,6912.040921402226,7109.365509004735,7283.951908628304,7469.01126395006,7641.439505546443,7737.431706458337,7724.0028095004855,7687.139379271687,7679.412073326593,7752.696249401557,7753.532050932383,7621.415792163312,7435.714772924981,7284.892157881665,7099.565154412492,6878.864707258877,6677.128809774173,6482.819967977997,6279.539096382987
10,2020-11-01,5984.732806967353,5820.547869127175,5702.707410376065,5601.828134825508,5540.530885644505,5496.954135357547,5447.276352729627,5433.754609155878,5434.98604782176,5420.4280538490275,5429.12311727904,5425.9636334405905,5439.48272454532,5411.534820383846,5475.515603502205,5547.984718455527,5609.535506651123,5699.231910659426,5738.75506390966,5729.094644853334,5699.409082333306,5730.569154396272,5791.07505297398,5847.384510194317,5904.981141680055,5960.22251307727,6114.5626982778,6237.542636848272,6356.535913714457,6530.469975499843,6703.81900275277,6886.487967409188,7085.327941469097,7264.95055612787,7406.637360494703,7433.269499618747,7442.094629109744,7502.609490091055,7576.314252024687,7570.26107263214,7468.502325078015,7289.787813343977,7149.948073459344,6972.92211858811,6805.569034730768,6655.418424315668,6433.967486949978,6240.536436962107
